SISTEMINIS_NUMERIS;DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA
7708;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-84/15(3.10.21.-AD4);2015;18-SEP-15;15-NOV-15;"Fabregas, UAB";303089936;"Viešųjų erdvių tvarkymas Žvėryne";5971.35
7762;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-177/15(3.10.22);2015;08-OCT-15;31-OCT-15;"Lilibra, VšĮ";302612198;"Etnografinių regionų metams skirto renginio organizavimas";1385
7778;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-147/15(3.10.22-AD4);2015;15-SEP-15;30-DEC-15;"Kertušas UAB";121253292;"Autobusų nuoma kelionėms Šeškinės bendruomenės ir Pal. J. Matulaičio šeimos pagalbos centro Šeškinės vaikų dienos centro nariams.";2949
7779;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-90/15(3.10.21-AD4);2015;05-OCT-15;30-NOV-15;"Metalo sprendimai, UAB";300669503;"Įrengtos lauko treniruoklių aikštelės šalia Žygimanto Augusto pagrindinės mokyklos, Šeškinės g. 25, atnaujinimo darbai, pagaminant ir įrengiant skersinius ir lygiagretes prisitraukimui ir atsispaudimui.";2314.73
7812;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A64-207/15(3.10.22-TD22);2015;20-NOV-15;15-DEC-15;"Teatriukas, VšĮ";124544246;"Kalėdinės šventės organizavimas Pašilaičių bendruomenės ir dovanėlės socialiai remtiniems vaikams.";1700
7822;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1335/15(3.1.36-TD2);2015;25-NOV-15;21-DEC-15;"Vilnijos verslo inkubatorius, VšĮ";124625627;"viešosios įstaigos vilnijos verslo inkubatoriaus biudžeto lėšų naudojimo sutartis";9832
7865;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";A72-1311/15(3.1.36-TD2);2015;13-NOV-15;05-JAN-19;"Vilniaus apšvietimas, UAB";120125820;"Taikos sutartis už suvartotą elektros energiją";2886360.38
7660;"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";30-1948;2012;09-OCT-12;31-DEC-17;"Mano Būstas Vilnius (Naujamiesčio būstas), UAB";121452091;"AD įsakymas dėl skyrimo administratore";
7669;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A68-33/15(3.10.23-AD4);2015;30-SEP-15;30-SEP-16;"Invilta, UAB";124381710;"Kompiuterinė įranga ir reikmenys";1118.04
7678;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";29-417(1.2.16-AD4);2015;09-OCT-15;31-DEC-15;"VŠĮ Pal.J.Matulaičio socialinis centras";225014650;"Sutartis programai ""Man Rūpi Tu - darbas su jaunimu gatvėje"" vykdyti";5000
7706;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";A62-98/15(3.10.21-AD4);2015;15-OCT-15;01-DEC-15;"Verslo natos, MB";303394208;"Balkono stiklinimo darbai.";491.83
7707;"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-99/15 (3.10.21-AD4)";2015;15-OCT-15;01-DEC-15;"Verslo natos, MB";303394208;"Vaikų žaidimo aikštelės-komplekso su sūpynėmis įrengimo darbai";5639.98
