SASKAITOS_METAI;KREDITORIUS;KREDITORIAUS_NR;SUTARTIES_NR;SASKAITOS_DATA;SASKAITOS_NR;DK_DATA;TERMS_DATE;TREMINAS;VALIUTA;INVOICE_TYPE_LOOKUP_CODE;FIN_SALTINIS;PRIEMONE;SAMATA;EKON_KLAS;ASIGNAV_VALDYTOJAS;ASIGN_VALD_APRASAS;EILUTES_SUMA;APMOKETA_SUMA;SKOLOS_SUMA;SKOLOS_SUMA_ES;DEPARTAMENTAS
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12175444-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030105;4000080;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;1117.38;760.21;357.17;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12175445-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2038.33;0;2038.33;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12181613-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;1390.15;205.29;1184.86;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12188027-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;41.17;0;41.17;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12188028-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201030102;4000010;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;16.01;0;16.01;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12193096-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2348.27;1104.11;1244.16;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12193111-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000150;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2593.87;0;2593.87;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12193113-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000152;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;2378;1616.8;761.2;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12193115-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201010102;4000152;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;3861.36;1152.01;2709.35;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12193238-ini146556d;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201020101;4000240;2.2.1.1.1.30.L.;0000000;Nedetalizuojama;.3;0;.3;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12202835-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201040101;4000350;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;585.85;576.59;9.26;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12202873-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201040101;4000350;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;96.93;0;96.93;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
2022;"Ignitis, UAB";303383884;;30-JUN-22;9566-12202874-ini146556;30-JUN-22;30-JUN-22;"30 dienų";EUR;STANDARD;01;201040101;4000350;2.2.1.1.1.20.2.;0000000;Nedetalizuojama;255.9;0;255.9;;"Biudžetinių įstaigų buhalterinė apskaita EUR"
