KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
1000155;"Neformalaus ugdymo įstaigų veiklos finansavimas ir plėtra (SB)";Y;N;20-JAN-17;20-JAN-17
1000156;"Tėvų mokesčio surinkimas neformaliojo švietimo įstaigose";Y;N;25-JAN-17;25-JAN-17
1000157;"Neformalaus ugdymo įstaigų veiklos finansavimas ir plėtra (tarpusavio atsiskaitymai)";Y;N;02-FEB-17;02-FEB-17
1000158;"Tėvų mokesčio surinkimas neformaliojo švietimo įstaigose";Y;N;28-MAR-17;28-MAR-17
1000159;"Papildomas lėšų gavimas už patalpų nuomą ugdymo įstaigose";Y;N;28-MAR-17;28-MAR-17
1000160;Nenaudojama;Y;N;20-NOV-07;28-MAR-17
1000161;"Papildomas lėšų gavimas nuomojant patalpas";Y;N;06-APR-17;06-APR-17
1000162;"Mokamų paslaugų  neformaliojo švietimo įstaigose teikimas";Y;N;24-MAY-17;24-MAY-17
1000163;"Įstaigų darbuotojų darbo apmokėjimo įstatymui laipsniškai įgyvendinti (tarpusavio atsiskaitymai)";Y;N;24-MAY-17;24-MAY-17
1000164;"Moksleivių pilietiškumo ir savivaldos ugdymas (SB)";Y;N;20-SEP-17;20-SEP-17
1000165;"Neformaliojo vaikų švietimo 15 eurų krepšelio lėšos (SB)";Y;N;02-NOV-17;02-NOV-17
1000166;"Neformaliojo vaikų švietimo 15 eurų krepšelio lėšos (ES)";Y;N;12-JAN-18;12-JAN-18
1000167;"Tyrimų, galimybių studijų ir analizių finansavimas";Y;N;22-FEB-18;22-FEB-18
1000168;"NVŠ jaunimo centro „Mes“ 15 Eur krepšelio lėšos";Y;N;12-OCT-18;12-OCT-18
1000169;"Jaunimo centro „Mes“ lėšų likučiai iš biudžetinių įstaigų pajamų įmokų už paslaugas";Y;N;12-OCT-18;12-OCT-18
1010001;"Civilinės metrikacijos skyrius";Y;N;15-MAR-08;15-MAR-08
1010002;"Poilsio namai ""Jūros vilnis""";Y;N;15-MAR-08;15-MAR-08
1010003;Administracija;Y;N;15-MAR-08;15-MAR-08
1010007;"Fabijoniškių seniūnija";Y;N;15-MAR-08;15-MAR-08
1010010;"Rasų seniūnija";Y;N;15-MAR-08;15-MAR-08
1010020;"Lazdynų turgavietės eksploatavimas";Y;N;22-OCT-09;22-OCT-09
1010501;"Kompiuterinė technika ir orgtechnika";Y;N;19-MAR-08;19-MAR-08
1010502;"Geografinės informacijos sistemų integracija";Y;N;14-MAR-08;14-MAR-08
1010503;"Elektroninio bilieto viešajame transporte ir keleivių informavimo sistemos sukūrimas";Y;N;14-MAR-08;14-MAR-08
1010504;"Elektroninio švietimo sistemos diegimas";Y;N;14-MAR-08;14-MAR-08
1010505;"Elektroninės sveikatos informacinė sistema";Y;N;14-MAR-08;14-MAR-08
1010506;"Finansų valdymo ir apskaitos sistema";Y;N;14-MAR-08;14-MAR-08
1010519;"Pastato V. A. Graičiūno g. 20, Vilniuje, remontas (Privatizavimo fondas)";Y;N;29-JUN-15;29-JUN-15
1010520;"Archyvinių dokumentų saugojimas (Privatizavimo fondas)";Y;N;04-FEB-15;04-FEB-15
1010521;"Savivaldybės turto privatizavimo funkcijų vykdymas";Y;N;14-MAR-08;10-OCT-11
1010522;"Bendruomenės centrų steigimas Vilniaus miesto savivaldybės administracijos seniūnijose (Grigiškių seniūnija)";Y;N;14-MAR-08;14-MAR-08
