ORG_ID;PASKOLOS_DAVEJAS;SUTARTIES_NR;PASKOLOS_KLASIFIKACIJA;SKOLOS_TIPAS;VALIUTA;INVOICE_NUM;DOK_METAI;PERIODAS;DOK_DK_DATA;DOK_TYPE;INVOICE_TYPE;DOK_NR;APYVARTOS_TIPAS
113;"Swedbank lizingas, UAB";LT026493;V;PALUKANOS;LTL;LS0002710861;2009;200909;17-SEP-09;Įsipareigojimas;Standard;LS0002710861;Įsipareigojimas;22211.33
113;"Swedbank lizingas, UAB";LT026493;V;PALUKANOS;LTL;LS002710862;2009;200909;17-SEP-09;Įsipareigojimas;Standard;LS002710862;Įsipareigojimas;7679.76
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;spalis;2009;200910;26-OCT-09;Įsipareigojimas;Standard;spalis;Įsipareigojimas;404.36
119;"SEB bankas";A64-34/0040712021596-21;S;PALUKANOS;LTL;SEBA64-34/02;2009;200910;26-OCT-09;Įsipareigojimas;Standard;SEBA64-34/02;Įsipareigojimas;2346019.46
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;palūkanos/05/11;2009;200911;02-NOV-09;Įsipareigojimas;Standard;palūkanos/05/11;Įsipareigojimas;19271.01
119;ERPB;22826;S;PALUKANOS;EUR;22826/4;2009;200911;02-NOV-09;Įsipareigojimas;Standard;22826/4;Įsipareigojimas;22258.25
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;palūkan/09/10;2009;200910;30-OCT-09;Įsipareigojimas;Standard;palūkan/09/10;Įsipareigojimas;14161.73
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;"Palūk seb 516/10";2009;200910;30-OCT-09;Įsipareigojimas;Standard;"Palūk seb 516/10";Įsipareigojimas;14334.09
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;"palūk seb-517/10";2009;200910;30-OCT-09;Įsipareigojimas;Standard;"palūk seb-517/10";Įsipareigojimas;12689.66
112;"VMI prie LRFM";14-09-41;S;PALUKANOS;LTL;lapkritis;2009;200911;23-NOV-09;Įsipareigojimas;Standard;lapkritis;Įsipareigojimas;195.66
119;"Nordea Bank AB Lietuvos skyrius";KS04/07/05;S;PALUKANOS;LTL;palūkanos/05/12;2009;200912;01-DEC-09;Įsipareigojimas;Standard;palūkanos/05/12;Įsipareigojimas;17464.37
119;"SEB bankas";0020312020094/09;S;PALUKANOS;LTL;palūkan/09/11;2009;200911;30-NOV-09;Įsipareigojimas;Standard;palūkan/09/11;Įsipareigojimas;13048.51
119;"SEB bankas";0040512020516-05;S;PALUKANOS;LTL;SEB/516/11;2009;200911;30-NOV-09;Įsipareigojimas;Standard;SEB/516/11;Įsipareigojimas;13508.56
119;"SEB bankas";0040512020517-05;S;PALUKANOS;LTL;"palūk 517/11";2009;200911;30-NOV-09;Įsipareigojimas;Standard;"palūk 517/11";Įsipareigojimas;11958.84
119;"Nordic Investment Bank";L15;S;PALUKANOS;EUR;L15/keitim/03;2009;200911;03-NOV-09;Įsipareigojimas;Standard;L15/keitim/03;Įsipareigojimas;500
