DEPARTAMENTAS;SUTARTIES_TIPAS;SUTARTIES_NUMERIS;SUDARYMO_METAI;SUTARTIES_PRADZIOS_DATA;SUTARTIES_PABAIGOS_DATA;TIEKEJAS;TIEKEJO_KODAS;SUTARTIES_APRASAS;SUTARTIES_SUMA;SISTEMINIS_NUMERIS;
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A72-832/14(3.1.36-EM)";"2014";"12-MAY-14";"31-MAY-15";"Infostruktūra, VĮ";"121738687";"Papildomas susitarimas prie 2012-05-31 Saugaus valstybinio duomenų perdavimo tinklo (SVDPT) paslaugų teikimo sutarties Nr. A72-712(3.1.36-EM)";"";"5800";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A64-64/14(3.10.22-AD4)";"2014";"13-MAY-14";"25-JUN-15";"Geodeziniai tyrinėjimai, UAB";"126107754";"2012-06-25 paslaugų teikimo sutarties Nr. 64-89(3.10.22-UK)";"";"5817";
"Vilniaus miesto savivaldybės administracija";"Finansavimo sutartis";"A72-860/14(3.1.36-AD4)";"2014";"21-MAY-14";"21-MAY-15";"Vilniaus turizmo informacijos centras VŠĮ";"123641468";"Lėšų skyrimo sutartis";"11584.8";"5837";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"188-Ū";"2011";"29-DEC-11";"29-DEC-18";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"Priedas prie 2011-12-29 sutarties Nr. 14-277 (Paslaugų užsakymo forma 2014-03-28, Vilnius / 51-Ūp)";"66612.6";"5825";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A421-29114(2.14.1.41-AD4)";"2014";"29-MAY-14";"29-MAY-15";"Lietuvos paštas, AB";"121215587";"Pirkimo-pardavimo sutartis";"115848.01";"5838";
"Vilniaus miesto savivaldybės administracija";"Kiti pirkimai";"A64-142(3.10.22-AP)";"2013";"14-NOV-13";"13-MAY-15";"UAB Vilniaus betono demotavimo technika";"125722762";"Buvusios AB "Skaiteks" gamyklos užterštos teritorijos sutvarkymas";"3908335.26";"5939";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-75/14(3.10.21-AD4)";"2014";"15-JUL-14";"15-JUL-17";"Economus, UAB";"300582646";"Treniruoklių remontas";"";"5940";
"Vilniaus miesto savivaldybės administracija";"Sutarties priedas";"A64-95/14(3.10.22-AD4)";"2014";"15-JUL-14";"28-MAY-15";"Economus, UAB";"300582646";"2012-10-03 Vaikų žaidimo aikštelių "Hags" tipo įrenginių priežiūros paslaugų teikimo sutarties Nr.A64-151(3.10.22-UK) pratęsimas";"";"5941";
"Vilniaus miesto savivaldybės administracija";"Viešasis pirkimas";"A62-79/14(3.10.21-AD4)";"2014";"29-JUL-14";"29-JUL-15";"Tvirta, UAB";"300583424";"S. Batoro gatvės rekonstrukcijos ir taisymo (remonto) darbai";"49811.31";"6014";
"Vilniaus miesto savivaldybės administracija";"Skolų perleidimo įspėjimas";"A50--20122/14";"2014";"06-JUN-14";"31-DEC-15";"Martonas, UAB";"122034821";"sutarties UAB "Grinda" A72-2183(3.1.36-UK) 2011.12.29 3366 perleidimas";"57470.75";"5871";
