Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
2M05	2M05	Valstyb.kalbos vartojimo ir taisyklingumo kontrolë	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M06	2M06	Archyviniø dokumentø tvarkymas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M07	2M07	Mobilizacijos administravimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M08	2M08	Civilinës saugos organizavimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M09	2M09	Pirminë teisinë pagalba	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M10	2M10	Þemës ûkio funkcijoms vykdyti	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M11	2M11	Vaikø teisiø apsauga	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M12	2M12	Jaunimo teisiø apsauga	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M13	2M13	Valstybinës þemës ir kito valstybës turto valdymas, naudojimas ir disponavimas juo patikëjimo teise	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M14	2M14	Gyvenamosios vietos deklaravimas	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M15	2M15	Duomenø teikimas Valstybës suteiktos pagalbos registrui	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M16	2M16	Valstybës investicijø programoje numatytoms kapitalo investicijoms finansuoti (KM)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M17	2M17	Valstybës investicijø programoje numatytoms kapitalo investicijoms finansuoti (SADM)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M18	2M18	Valstybës investicijø metø programoje numatytoms kapitalo investicijoms finansuoti (ÐMM)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M19	2M19	Valstybës investicijø programoje numatytoms kapitalo investicijoms finansuoti (SAM)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M20	2M20	Valstybës investicijø programoje numatytoms kapitalo investicijoms finansuoti (savivaldybiø socialinio bûsto fondui)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M21	2M21	Mokiniø visuomenës sveikatos prieþiûra	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M22	2M22	Visuomenës sveikatos stiprinimas ir stebësena	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M23	2M23	Valstybës investicijø programoje numatytoms kapitalo investicijoms finansuoti (KKSD)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
2M24	2M24	Keliø prieþiûros ir plëtros programa (Specialioji tikslinë dotacija)	*			.Taip..Biudþeto skyrius EUR..4241001.4241004.4241001.4241004.4242001.4242004.4241002..7014001..4242003.Taip.Ne.Taip..7014002.7024001.4242002.2282101.4241003.4242003.4241003.2282101.2282101..4141001.4142001.4141001.2224001.4241002	
