Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
1099035	1099035	Vilniaus Vilnies pagrindinë mokykla				.	
1099036	1099036	Vilniaus Karoliniðkiø gimnazija				.	
109T	109T	Saugaus miesto departamentas (suminis)				.	
11000	11000	Grigiðkiø seniûnija				.	
1100000	1100000	Turto departamentas				.	
1100001	1100001	Neetatiniai darbuotojai (KIS)				.	
1100100	1100100	Apskaitos ir sutarèiø skyrius				.	
1100101	1100101	Programavimo poskyris				.	
1100102	1100102	Technologijø ir sistemø poskyris				.	
1100103	1100103	Telekomunikacijø  poskyris				.	
1100200	1100200	Turto valdymo ir privatizavimo skyrius			2010-05-01	.	
1100300	1100300	Verslo ir paslaugø skyrius				.	
1100301	1100301	Programavimo poskyris				.	
1100302	1100302	Projektø poskyris				.	
110T	110T	Turto departamentas (suminis)				.	
11100	11100	Justiniðkiø seniûnija				.	
11200	11200	Karoliniðkiø seniûnija				.	
11300	11300	Lazdynø seniûnija				.	
11400	11400	Naujamiesèio seniûnija				.	
11500	11500	Naujininkø seniûnija				.	
11600	11600	Naujosios Vilnios seniûnija				.	
11700	11700	Paneriø seniûnija				.	
11800	11800	Paðilaièiø seniûnija				.	
11900	11900	Pilaitës seniûnija				.	
12000	12000	Rasø seniûnija				.	
1200000	1200000	Kontrolieriaus tarnyba				.	
12100	12100	Senamiesèio seniûnija				.	
12200	12200	Ðeðkinës seniûnija				.	
12300	12300	Ðnipiðkiø seniûnija				.	
12400	12400	Verkiø seniûnija				.	
12500	12500	Vilkpëdës seniûnija				.	
12600	12600	Virðuliðkiø seniûnija				.	
12700	12700	Þirmûnø seniûnija				.	
12800	12800	Þvëryno seniûnija				.	
12900	12900	Neetatiniai darbuotojai (valytojai)				.	
13000	13000	Autoriniai darbai (Seniûnijos)				.	
1300000	1300000	Mero institucija				.	
1300100	1300100	Tarybos nariai				.	
13200	13200	Aprûpinimo skyrius				.	
13201	13201	Eksploatacijos poskyris				.	
13202	13202	Tiekimo poskyris				.	
13203	13203	Transporto poskyris				.	
13300	13300	Dokumentø valdymo skyrius				.	
13301	13301	Administracijos sekretoriatas				.	
13400	13400	Informaciniø technologijø skyrius				.	
13401	13401	Programavimo poskyris				.	
13402	13402	Projektø valdymo poskyris				.	
13403	13403	Sistemø poskyris				.	
13404	13404	Telekomunikacijø poskyris				.	
13406	13406	Technologijø poskyris				.	
13500	13500	Strateginio valdymo skyrius				.	
13501	13501	Planavimo poskyris				.	
13502	13502	Procesø valdymo poskyris				.	
14000	14000	Aplinkos ir energetikos departamentas	*			.Taip	
1400000	1400000	Tarybos sekretoriatas				.	
1400100	1400100	Vieðøjø ryðiø skyrius				.	
1400200	1400200	Rinkodaros ir vieðøjø ryðiø skyrius				.	
14100	14100	Apskaitos ir sutarèiø skyrius				.	
14101	14101	Apskaitos poskyris				.	
14102	14102	Sutarèiø poskyris				.	
14200	14200	Turto valdymo ir privatizavimo skyrius				.	
14201	14201	Ámoniø valdymo poskyris				.	
14202	14202	Privatizavimo poskyris				.	
14203	14203	Turto valdymo poskyris				.	
14204	14204	Þemës nuomos mokesèio administravimo poskyris				.	
14300	14300	Verslo ir paslaugø skyrius				.	
14301	14301	Licencijavimo poskyris				.	
14302	14302	Verslo organizavimo poskyris				.	
14303	14303	Reklamos poskyris				.	
15000	15000	E. MIESTO DEPARTAMENTAS	*			.Taip	
1500000	1500000	Palangos poilsio namai „Jûros vilnis“				.	
16000	16000	Saugaus miesto departamentas	*			.Taip	
18103	18103	Inþineriniø tinklø poskyris				.	
18201	18201	Statiniø naudojimo prieþiûros poskyris				.	
18301	18301	Eksploatacijos poskyris				.	
18304	18304	Projektavimo poskyris				.	
188649078	188649078	Vilniaus miesto savivaldybës kontrolës ir audito tarnyba	*			.Taip	
188701240	188701240	Miesto plëtros departamentas	*			.Taip	
188708377	188708377	Finansø departamentas	*			.Taip	
188710061	188710061	Vilniaus miesto savivaldybës administracija	*			.Taip	
188712831	188712831	Socialiniø reikalø ir sveikatos departamentas	*			.Taip	
188751791	188751791	Miesto ûkio ir transporto departamentas	*			.Taip	
190003328	190003328	Vilniaus Mykolo Birþiðkos gimnazija	*	2013-01-01		.	
190007344	190007344	Vilniaus Naujininkø mokykla	*	2013-01-01		.	
191663134	191663134	Justino Vienoþinskio dailës m-kla	*			.	
191665142	191665142	Vilniaus Antakalnio atviras jaunimo centras	*			.	
191665338	191665338	Vilniaus atviras jaunimo centras „Mes“	*			.	
191743947	191743947	Privati ikimokyklinë ástaiga Vieðoji ástaiga SG8	*			.	
191897571	191897571	Privati ikimokyklinë ástaiga Þydø lopðelis-darþelis Menachemo namai				.	
195007889	195007889	Vilniaus Taikos progimnazija	*			.	
1994006	1994006	Ðvietimo skyrius (deleguota) 16.2.19.40.D				.	
1994085	1994085	Miestovaizdþio skyrius /deleguota/ 16*2*17*32*D				.	
20000	20000	Finansø departamentas				.	
200000	200000	Kontrolieriaus tarnyba				.	
2000001	2000001	Administracija (departamentas)				.	
20100	20100	Biudþeto skyrius				.	
20101	20101	Apskaitos ir atskaitomybës poskyris				.	
20102	20102	Finansavimo poskyris				.	
20103	20103	Finansiniø iðtekliø ir iðlaidø poskyris				.	
20104	20104	Planavimo poskyris				.	
20105	20105	Skolinimosi ir finansiniø ásipareigojimø administravimo poskyris				.	
20200	20200	Ekonominës analizës skyrius				.	
20201	20201	Investicijø poskyris				.	
20300	20300	Mokesèiø skyrius				.	
288735820	288735820	Kultûros, sporto ir turizmo departamentas	*			.Taip	
30000	30000	Kultûros ir ugdymo departamentas				.	
300000	300000	Mero institucija				.	
300021830	300021830	VÐÁ „Balseliai“ (privati ikimokyklinë ástaiga)	*			.	
300100	300100	Tarybos nariai				.	
300513956	300513956	VðÁ "Mokykla vaikams"				.	
300776494	300776494	VÐÁ vaikø darþelis „Namelis medyje“ (privati ikimokyklinë ástaiga)	*			.	
300883820	300883820	VðÁ "Namø darþelis"	*	2013-01-01		.	
300913594	300913594	VðÁ Metø laikai ikimokyklinë privati ástaiga				.	
30100	30100	Ástaigø administravimo skyrius				.	
301534654	301534654	Turto valdymo ir verslo paslaugø departamentas	*			.Taip	
301695465	301695465	UAB „SMP service“ (privati ikimokyklinë ástaiga)	*		2012-12-31	.	
30200	30200	Jaunimo reikalø skyrius				.	
30227941	30227941	DUKU Privati ikimokyklinë ástaiga VðÁ	*			.	
