Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
01090104024	01090104024	Vilniaus "Àþuolyno" pagrindinës mokyklos langams renovuoti**	*			..Ne.......	
01090104025	01090104025	Vilniaus „Spindulio“ pagrindinës mokyklos pastato Vilniuje, R. Jankausko g. 17, renovacija	*			..Ne.......	
01090104026	01090104026	Vilniaus Gabijos gimnazijos pastato Vilniuje, Paðilaièiø g. 13, renovacija	*			..Ne.......	
01090104027	01090104027	Vilniaus „Àþuolyno“ progimnazijos pastato Vilniuje, Architektø g. 68, energijos vartojimo efektyvumo didinimas	*			..Ne.......	
01090104028	01090104028	Energijos vartojimo efektyvumo didinimas Vilniaus Liepkalnio pagrindinëje mokykloje	*			..Ne.......	
01090104029	01090104029	Vilniaus Ðv. Kristoforo progimnazijos pastato Vilniuje, Kalvarijø g. 87, rekonstravimas	*			..Ne.......	
01090104030	01090104030	Vilniaus Paneriø pagrindinës mokyklos kamino remontas	*			..Ne.......	
01090104031	01090104031	Vilniaus Radvilø gimnazijos pastato Vilniuje, Gelvonø g. 55, rekonstravimas	*			..Ne.......	
01090104032	01090104032	Vilniaus „Atgajos“ specialiosios mokyklos pastato Vilniuje, Virðuliðkiø g. 103, rekonstravimas	*			..Ne.......	
01090104033	01090104033	Vilniaus Þirmûnø gimnazijos pastato Vilniuje, Þirmûnø g. 37, rekonstravimas	*			..Ne.......	
01090104034	01090104034	Vilniaus Fabijoniðkiø vidurinës mokyklos pastato Vilniuje, P. Þadeikos g. 2, rekonstravimas	*			..Taip.......	
01090104035	01090104035	Langø, stogø, sanmazgø remonto atlikimas ugdymo ástaigose	*			..Taip.......	
01090104036	01090104036	Vilniaus Emilijos Pliaterytës pagrindinës mokyklos sporto salës remontas	*			..Ne.......	
01090104037	01090104037	Vilniaus Petro Vileiðio pagrindinës mokyklos kapitalinis remontas	*			..Ne.......	
01090104038	01090104038	Vilniaus „Þaros“ vidurinës mokyklos pastato Vilniuje, Karklënø g. 13, rekonstravimas	*			..Taip.......	
01090104039	01090104039	Vilniaus Virðuliðkiø vidurinës mokyklos pastato Vilniuje, Virðuliðkiø g. 7 rekonstravimas	*			..Taip.......	
01090104040	01090104040	Vilniaus Naujininkø vidurinës mokyklos pastato Vilniuje, Ðaltkalviø g. 32, rekonstravimas	*			..Taip.......	
01090104041	01090104041	Vilniaus Taikos progimnazijos pastato Vilniuje, Taikos g. 157, rekonstravimas	*			..Taip.......	
01090104042	01090104042	Vilniaus Þygimanto Augusto pagrindinës mokyklos pastato Vilniuje, Ðeðkinës g. 25, rekonstravimas	*			..Taip.......	
01090104043	01090104043	VðÁ Vilniaus katalikiðkosios mokyklos „Versmë“ pastato Vilniuje, Architektø g. 85, rekonstravimas	*			..Ne.......	
01090104044	01090104044	Vilniaus Lazdynø vidurinës mokyklos filialo, esanèio Liudvinavo g. 128, remontas, árengiant dvi darþelio grupes	*			..Ne.......	
01090104045	01090104045	Vilniaus Juzefo Ignacijaus Kraðevskio vidurinës mokyklos rekonstrukcija	*			..Taip.......	
01090104046	01090104046	Vilniaus Adomo Mickevièiaus gimnazijos aplinkos tvarkymo ir gerbûvio darbai	*			..Ne.......	
01090104047	01090104047	Patrauklios mokymosi aplinkos kûrimas Vilniaus Jono Ivaðkevièiaus jaunimo mokykloje (infrastruktûros gerinimas) (ES)	*			..Ne.......	
01090104048	01090104048	Vilniaus Levo Karsavino vidurinës mokyklos pastato Vilniuje, Justiniðkiø g. 43, modernizavimas*	*			..Ne.......	
01090104049	01090104049	Vilniaus Þemynos progimnazijos pastato Vilniuje, Þemynos g. 14, kapitalinis remontas*	*			..Taip.......	
01090104050	01090104050	Ikimokyklinio ir prieðmokyklinio ugdymo grupiø árengimas Vilniaus miesto ðvietimo ástaigose	*			..Taip.......	
01090104051	01090104051	Vilniaus Jono Pauliaus II progimnazijos pastato Vilniuje, Rygos g. 10, rekonstravimas*	*			..Taip.......	
01090104052	01090104052	Vilniaus Senvagës gimnazijos pastato Vilniuje, Ðirvintø g. 80, modernizavimas*	*			..Taip.......	
01090104053	01090104053	Vilniaus „Juventos“ gimnazijos pastato Vilniuje, Telðiø g. 2, modernizavimas*	*			..Taip.......	
01090104054	01090104054	Vilniaus „Saulëtekio“ vidurinës mokyklos pastato, Kaminkelio g. 10, modernizavimas*	*			..Taip.......	
01090104055	01090104055	Vilniaus Vytës Nemunëlio pradinës mokyklos pastato Vilniuje, Vokieèiø g. 13A, modernizavimas*	*			..Taip.......	
01090104056	01090104056	Vilniaus Karaliaus Mindaugo pagrindinës mokyklos, Mindaugo g. 9, gerbûvio tvarkymo darbai	*			..Taip.......	
01090104057	01090104057	Vilniaus Uþupio gimnazijos aktø salës remontas	*			..Taip.......	
01090104058	01090104058	Vilniaus Gabrielës Petkevièaitës-Bitës suaugusiøjø mokymo centro pastato, Vitebsko  g. 21, renovacija	*			..Taip.......	
01090104059	01090104059	Vilniaus Jono Pauliaus II gimnazijos pastato Vilniuje, Druskio g. 11, stogo remontas	*			..Taip.......	
01090104060	01090104060	Vilniaus „Ateities“ vidurinës mokyklos pastato Vilniuje, S. Stanevièiaus g. 98, modernizavimas	*	2015-04-01		..Taip.......	
01090104061	01090104061	Vilniaus „Atþalyno“ mokyklos - darþelio pastato Vilniuje, Geniø g. 25, modernizavimas	*	2015-04-01		..Taip.......	
01090104062	01090104062	Vilniaus Pavilnio pagrindinës mokyklos pastato Vilniuje, J. Kolaso g. 18, modernizavimas	*	2015-04-01		..Taip.......	
01090104063	01090104063	Vilniaus „Santaros“ vidurinës mokyklos pastato Vilniuje, A. Juozapavièiaus g. 12, modernizavimas	*	2015-04-01		..Taip.......	
01090104064	01090104064	Vilniaus Naujamiesèio vidurinës mokyklos pastato Vilniuje, T. Ðevèenkos g. 17, modernizavimas	*	2015-04-01		..Taip.......	
01090104065	01090104065	Vilniaus Naujininkø, Ðaltkalviø g. 32, modernizavimas	*	2015-04-01		..Taip.......	
01090104066	01090104066	Vilniaus Prano Maðioto pradinës mokyklos pastato Vilniuje, Þirmûnø g. 53, modernizavimas	*	2015-04-01		..Taip.......	
01090104067	01090104067	Vilniaus Uþupio gimnazijos pastato Vilniuje, Vilnius, Kriviø g. 10, modernizavimas	*	2015-04-01		..Taip.......	
